batch	line	reported_source	evidence_url
batch_0001	30752	Letters and Social Aims (1875), 'Social Aims'	https://quotepark.com/quotes/1730037 - cites Letters and Social Aims; Emerson quotes Miss C. F. Forbes's remark in 'Social Aims'
batch_0003	38595	'On Nicknames', in Sketches and Essays / Men and Manners (1852 collection)	https://libquotes.com/william-hazlitt/quote/lbn1q0f - cites Hazlitt's essay 'On Nicknames'; note Hazlitt's wording is 'the heaviest stone that the devil can throw at a man'
batch_0004	24248	Conversations of Lord Byron with the Countess of Blessington (1834)	https://libquotes.com/lord-byron/quote/lbb3i4u - attributed to Lady Blessington's Conversations of Lord Byron (1834), a contemporary's first-hand record
batch_0004	24254	Childe Harold's Pilgrimage (1816), canto III, st. 32	https://quotefancy.com/quote/2347697/Matt-Haig-And-thus-the-heart-will-break-yet-brokenly-live-on-Lord-Byron-Childe-Harold-s - original line 'And thus the heart will break, yet brokenly live on' identified as Childe Harold's Pilgrimage III.32
batch_0007	32009	Reflections and Remarks on Human Life (1878)	https://libquotes.com/robert-louis-stevenson/quote/lbq7r4h - sourced quotation page citing 'Reflections and Remarks on Human Life'
batch_0007	38815	The Excursion (1814), Book IV	https://www.goodreads.com/quotes/569684-faith-is-a-passionate-intuition - search result locating the fuller passage in The Excursion: 'faith become / A passionate intuition'; the pithy form is a condensation of that line
batch_0008	895	La Peste / The Plague (1947)	https://www.goodreads.com/work/quotes/2058116-la-peste - passage quoted from the novel The Plague (1947), spoken by Dr Rieux/Tarrou in the text
batch_0008	904	L'Homme revolte / The Rebel (1951)	https://www.goodreads.com/work/quotes/486408-l-homme-r-volt - the passage appears among quotations from The Rebel, in its concluding discussion of limits
batch_0008	914	La Chute / The Fall (1956)	https://www.goodreads.com/work/quotes/3324245-la-chute?page=2 - line listed among quotations from The Fall, with its continuation about crime and lawyers
batch_0008	17478	'Shakespeare Once More' (1868), in Among My Books	https://www.goodreads.com/quotes/9294046-one-thorn-of-experience-is-worth-a-whole-wilderness-of - sourced to Lowell's essay 'Shakespeare Once More' in Among My Books / Literary Essays vol. II
batch_0008	21234	The Spectator (1711-12)	https://libquotes.com/joseph-addison/works/the-spectator/3 - line listed among quotations from Addison's Spectator papers
batch_0008	21244	The Spectator, no. 583 (20 August 1714)	https://libquotes.com/joseph-addison/quote/lbf5r1m - cites The Spectator no. 583 (20 Aug 1714), where Addison reports the jest of an 'old fellow of a colledge'
batch_0008	31769	Remark quoted in Sidney Cox, A Swinger of Birches: A Portrait of Robert Frost (1957)	https://www.goodreads.com/quotes/15633-love-is-an-irresistible-desire-to-be-irresistibly-desired - search summary indicates the quote is recorded in Sidney Cox's memoir 'A Swinger of Birches' (1957), a contemporary's first-hand record
batch_0009	25045	In Search of Lost Time, vol. 6: The Fugitive / The Sweet Cheat Gone (Albertine disparue) (1925)	https://libquotes.com/marcel-proust/quote/lbc5w5m - quotation site citing The Sweet Cheat Gone (Albertine disparue) for 'We are healed of a suffering only by experiencing it to the full'
batch_0009	25048	In Search of Lost Time, vol. 6: The Fugitive (Albertine disparue) (1925)	https://www.goodreads.com/quotes/359143-let-us-leave-pretty-women-to-men-with-no-imagination - aggregator (not evidence) attributing the line to The Captive / The Fugitive; the sentence 'Laissons les jolies femmes aux hommes sans imagination' is in Albertine disparue
batch_0009	25049	In Search of Lost Time, vol. 6: The Fugitive (Albertine disparue) (1925)	https://libquotes.com/marcel-proust/quote/lbq6f3v - quotation site citing Remembrance of Things Past: The Captive / The Fugitive / Time Regained volume; the sentence 'Le temps passe, et peu à peu tout ce qu'on disait par mensonge devient vrai' is in Albertine disparue
batch_0009	25050	In Search of Lost Time, vol. 3: The Guermantes Way (Le Côté de Guermantes) (1920-21), part I (Dr du Boulbon's visit to the grandmother)	https://www.goodreads.com/quotes/7411023-with-intelligent-people-three-quarters-of-the-things-they-suffer-from - aggregator (not evidence) gives the Moncrieff-style translation 'With intelligent people, three-quarters of the things they suffer from come from their intelligence' and assigns it to In Search of Lost Time (listed there under Young Girls in Flower; the du Boulbon scene is in The Guermantes Way)
batch_0009	25051	In Search of Lost Time, vol. 1: Swann's Way (Du côté de chez Swann) (1913), part II 'Swann in Love'	https://www.brainyquote.com/quotes/marcel_proust_131216 - only aggregators found (not evidence); the sentence describes Swann ('Like everyone who is not in love, he imagined that one chose the person whom one loved after endless deliberations') in 'Un amour de Swann'
batch_0009	25052	In Search of Lost Time, vol. 1: Swann's Way (Du côté de chez Swann) (1913), 'Combray'	https://www.goodreads.com/quotes/2978-like-many-intellectuals-he-was-incapable-of-saying-a-simple - only aggregators found (not evidence); the sentence ('Comme beaucoup d'intellectuels, il était incapable de dire une chose simple d'une façon simple') describes Legrandin in Combray
batch_0009	25061	In Search of Lost Time, vol. 2: Within a Budding Grove (À l'ombre des jeunes filles en fleurs) (1919), part II (Elstir speaking)	https://www.goodreads.com/quotes/101452-we-do-not-receive-wisdom-we-must-discover-it-for - aggregator (not evidence) giving the longer passage from In the Shadow of Young Girls in Flower; it is part of Elstir's speech that also contains row 25044
batch_0009	25062	In Search of Lost Time, vol. 5: The Captive (La Prisonnière) (1923), part 2, ch. 3	https://www.brainyquote.com/quotes/marcel_proust_401575 - search result carries the Columbia-dictionary-style citation 'Remembrance of Things Past, vol. 10, The Captive, pt. 2, ch. 3 (1923)'
batch_0009	25065	In Search of Lost Time, vol. 4: Sodom and Gomorrah (Sodome et Gomorrhe) (1921-22)	https://www.brainyquote.com/quotes/marcel_proust_391087 - only aggregators found (not evidence); search result assigns the line to In Search of Lost Time: Sodom and Gomorrah, matching the French 'L'habitude est une seconde nature qui nous empêche de connaître la première' in Sodome et Gomorrhe
