pg_id	work	corpus_line	verdict	score
58907	A B C of Gothic Architecture	15481	no-shingle-match	
58907	A B C of Gothic Architecture	15482	no-shingle-match	
9237	A Bell's Biography	28064	no-shingle-match	
9237	A Bell's Biography	28065	below-threshold	44
9237	A Bell's Biography	28066	no-shingle-match	
9237	A Bell's Biography	28067	no-shingle-match	
9237	A Bell's Biography	28068	below-threshold	51
9237	A Bell's Biography	28069	no-shingle-match	
9237	A Bell's Biography	28070	no-shingle-match	
9237	A Bell's Biography	28071	no-shingle-match	
9237	A Bell's Biography	28072	no-shingle-match	
9237	A Bell's Biography	28073	no-shingle-match	
9237	A Bell's Biography	28074	below-threshold	56
9237	A Bell's Biography	28075	no-shingle-match	
9237	A Bell's Biography	28076	below-threshold	50
9237	A Bell's Biography	28077	below-threshold	49
9237	A Bell's Biography	28078	below-threshold	46
9237	A Bell's Biography	28079	no-shingle-match	
9237	A Bell's Biography	28080	no-shingle-match	
9237	A Bell's Biography	28081	no-shingle-match	
9237	A Bell's Biography	28082	no-shingle-match	
9237	A Bell's Biography	28083	no-shingle-match	
9237	A Bell's Biography	28084	below-threshold	50
9237	A Bell's Biography	28085	no-shingle-match	
9237	A Bell's Biography	28086	no-shingle-match	
9237	A Bell's Biography	28087	no-shingle-match	
9237	A Bell's Biography	28088	no-shingle-match	
9237	A Bell's Biography	28089	no-shingle-match	
9237	A Bell's Biography	28090	no-shingle-match	
9237	A Bell's Biography	28091	no-shingle-match	
2880	A Blot in the 'Scutcheon	31604	no-shingle-match	
2880	A Blot in the 'Scutcheon	31605	below-threshold	52
2880	A Blot in the 'Scutcheon	31606	no-shingle-match	
2880	A Blot in the 'Scutcheon	31607	below-threshold	64
2880	A Blot in the 'Scutcheon	31608	no-shingle-match	
2880	A Blot in the 'Scutcheon	31609	below-threshold	60
2880	A Blot in the 'Scutcheon	31610	no-shingle-match	
2880	A Blot in the 'Scutcheon	31611	no-shingle-match	
2880	A Blot in the 'Scutcheon	31612	no-shingle-match	
2880	A Blot in the 'Scutcheon	31613	no-shingle-match	
2880	A Blot in the 'Scutcheon	31614	no-shingle-match	
2880	A Blot in the 'Scutcheon	31615	below-threshold	56
2880	A Blot in the 'Scutcheon	31616	no-shingle-match	
2880	A Blot in the 'Scutcheon	31617	no-shingle-match	
2880	A Blot in the 'Scutcheon	31618	no-shingle-match	
2880	A Blot in the 'Scutcheon	31619	no-shingle-match	
2880	A Blot in the 'Scutcheon	31620	no-shingle-match	
2880	A Blot in the 'Scutcheon	31621	no-shingle-match	
2880	A Blot in the 'Scutcheon	31622	below-threshold	47
2880	A Blot in the 'Scutcheon	31623	no-shingle-match	
2880	A Blot in the 'Scutcheon	31624	no-shingle-match	
2880	A Blot in the 'Scutcheon	31625	no-shingle-match	
2880	A Blot in the 'Scutcheon	31626	no-shingle-match	
2880	A Blot in the 'Scutcheon	31627	no-shingle-match	
2880	A Blot in the 'Scutcheon	31628	no-shingle-match	
2880	A Blot in the 'Scutcheon	31629	below-threshold	55
2880	A Blot in the 'Scutcheon	31630	no-shingle-match	
2880	A Blot in the 'Scutcheon	31631	no-shingle-match	
2880	A Blot in the 'Scutcheon	31632	no-shingle-match	
2880	A Blot in the 'Scutcheon	31633	no-shingle-match	
2880	A Blot in the 'Scutcheon	31634	no-shingle-match	
2880	A Blot in the 'Scutcheon	31635	no-shingle-match	
2880	A Blot in the 'Scutcheon	31636	no-shingle-match	
2880	A Blot in the 'Scutcheon	31637	no-shingle-match	
2880	A Blot in the 'Scutcheon	31638	no-shingle-match	
2880	A Blot in the 'Scutcheon	31639	no-shingle-match	
2880	A Blot in the 'Scutcheon	31640	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35902	below-threshold	60
34135	A Book-Lover's Holidays in the Open	35903	below-threshold	57
34135	A Book-Lover's Holidays in the Open	35904	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35905	below-threshold	50
34135	A Book-Lover's Holidays in the Open	35906	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35907	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35908	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35909	below-threshold	49
34135	A Book-Lover's Holidays in the Open	35910	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35911	below-threshold	55
34135	A Book-Lover's Holidays in the Open	35912	below-threshold	50
34135	A Book-Lover's Holidays in the Open	35913	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35914	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35915	below-threshold	61
34135	A Book-Lover's Holidays in the Open	35916	below-threshold	52
34135	A Book-Lover's Holidays in the Open	35917	below-threshold	49
34135	A Book-Lover's Holidays in the Open	35918	below-threshold	49
34135	A Book-Lover's Holidays in the Open	35919	below-threshold	47
34135	A Book-Lover's Holidays in the Open	35920	below-threshold	50
34135	A Book-Lover's Holidays in the Open	35921	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35922	below-threshold	50
34135	A Book-Lover's Holidays in the Open	35923	below-threshold	53
34135	A Book-Lover's Holidays in the Open	35924	below-threshold	58
34135	A Book-Lover's Holidays in the Open	35925	no-shingle-match	
34135	A Book-Lover's Holidays in the Open	35926	below-threshold	50
34135	A Book-Lover's Holidays in the Open	35927	below-threshold	51
34135	A Book-Lover's Holidays in the Open	35928	below-threshold	54
34135	A Book-Lover's Holidays in the Open	35929	no-shingle-match	
27660	A Book Without a Title	13586	no-shingle-match	
27660	A Book Without a Title	13587	no-shingle-match	
27660	A Book Without a Title	13588	no-shingle-match	
27660	A Book Without a Title	13589	no-shingle-match	
27660	A Book Without a Title	13590	no-shingle-match	
27660	A Book Without a Title	13591	no-shingle-match	
27660	A Book Without a Title	13592	no-shingle-match	
27660	A Book Without a Title	13593	no-shingle-match	
27660	A Book Without a Title	13594	no-shingle-match	
27660	A Book Without a Title	13595	no-shingle-match	
27660	A Book Without a Title	13596	no-shingle-match	
27660	A Book Without a Title	13597	no-shingle-match	
27660	A Book Without a Title	13598	no-shingle-match	
27660	A Book Without a Title	13599	below-threshold	46
27660	A Book Without a Title	13600	no-shingle-match	
27660	A Book Without a Title	13601	no-shingle-match	
27660	A Book Without a Title	13602	no-shingle-match	
27660	A Book Without a Title	13603	no-shingle-match	
27660	A Book Without a Title	13604	no-shingle-match	
27660	A Book Without a Title	13605	no-shingle-match	
27660	A Book Without a Title	13606	no-shingle-match	
27660	A Book Without a Title	13607	below-threshold	51
27660	A Book Without a Title	13608	no-shingle-match	
27660	A Book Without a Title	13609	below-threshold	51
27660	A Book Without a Title	13610	no-shingle-match	
27660	A Book Without a Title	13611	below-threshold	48
27660	A Book Without a Title	13612	below-threshold	48
9250	A Book of Autographs	28064	no-shingle-match	
9250	A Book of Autographs	28065	no-shingle-match	
9250	A Book of Autographs	28066	below-threshold	47
9250	A Book of Autographs	28067	no-shingle-match	
9250	A Book of Autographs	28068	no-shingle-match	
9250	A Book of Autographs	28069	below-threshold	48
9250	A Book of Autographs	28070	no-shingle-match	
9250	A Book of Autographs	28071	no-shingle-match	
9250	A Book of Autographs	28072	no-shingle-match	
9250	A Book of Autographs	28073	below-threshold	52
9250	A Book of Autographs	28074	no-shingle-match	
9250	A Book of Autographs	28075	no-shingle-match	
9250	A Book of Autographs	28076	below-threshold	49
9250	A Book of Autographs	28077	below-threshold	47
9250	A Book of Autographs	28078	no-shingle-match	
9250	A Book of Autographs	28079	no-shingle-match	
9250	A Book of Autographs	28080	no-shingle-match	
9250	A Book of Autographs	28081	no-shingle-match	
9250	A Book of Autographs	28082	no-shingle-match	
9250	A Book of Autographs	28083	no-shingle-match	
9250	A Book of Autographs	28084	no-shingle-match	
9250	A Book of Autographs	28085	no-shingle-match	
9250	A Book of Autographs	28086	below-threshold	66
9250	A Book of Autographs	28087	no-shingle-match	
9250	A Book of Autographs	28088	below-threshold	47
9250	A Book of Autographs	28089	no-shingle-match	
9250	A Book of Autographs	28090	no-shingle-match	
9250	A Book of Autographs	28091	no-shingle-match	
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38275	no-shingle-match	
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38276	no-shingle-match	
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38277	below-threshold	46
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38278	no-shingle-match	
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38279	below-threshold	48
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38280	below-threshold	48
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38281	below-threshold	49
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38282	below-threshold	47
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38283	below-threshold	50
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38284	below-threshold	48
47150	A Book of Burlesque: Sketches of English Stage Travestie and Parody	38285	below-threshold	47
22145	A Book of Burlesques	14619	no-shingle-match	
22145	A Book of Burlesques	14620	no-shingle-match	
22145	A Book of Burlesques	14621	below-threshold	47
22145	A Book of Burlesques	14622	no-shingle-match	
22145	A Book of Burlesques	14623	no-shingle-match	
22145	A Book of Burlesques	14624	no-shingle-match	
22145	A Book of Burlesques	14625	no-shingle-match	
22145	A Book of Burlesques	14626	no-shingle-match	
22145	A Book of Burlesques	14627	no-shingle-match	
22145	A Book of Burlesques	14628	no-shingle-match	
22145	A Book of Burlesques	14629	no-shingle-match	
22145	A Book of Burlesques	14630	no-shingle-match	
22145	A Book of Burlesques	14631	no-shingle-match	
22145	A Book of Burlesques	14632	no-shingle-match	
22145	A Book of Burlesques	14633	no-shingle-match	
22145	A Book of Burlesques	14634	no-shingle-match	
22145	A Book of Burlesques	14635	no-shingle-match	
22145	A Book of Burlesques	14636	no-shingle-match	
22145	A Book of Burlesques	14637	no-shingle-match	
22145	A Book of Burlesques	14638	no-shingle-match	
22145	A Book of Burlesques	14639	no-shingle-match	
22145	A Book of Burlesques	14640	no-shingle-match	
22145	A Book of Burlesques	14641	no-shingle-match	
22145	A Book of Burlesques	14642	no-shingle-match	
22145	A Book of Burlesques	14643	no-shingle-match	
19355	A Book of Prefaces	14619	no-shingle-match	
19355	A Book of Prefaces	14620	below-threshold	48
19355	A Book of Prefaces	14621	below-threshold	50
19355	A Book of Prefaces	14622	below-threshold	53
19355	A Book of Prefaces	14623	below-threshold	50
19355	A Book of Prefaces	14624	below-threshold	49
19355	A Book of Prefaces	14625	no-shingle-match	
19355	A Book of Prefaces	14626	below-threshold	55
19355	A Book of Prefaces	14627	below-threshold	50
19355	A Book of Prefaces	14628	no-shingle-match	
19355	A Book of Prefaces	14629	no-shingle-match	
19355	A Book of Prefaces	14630	below-threshold	52
19355	A Book of Prefaces	14631	below-threshold	53
19355	A Book of Prefaces	14632	below-threshold	50
19355	A Book of Prefaces	14633	no-shingle-match	
19355	A Book of Prefaces	14634	below-threshold	50
19355	A Book of Prefaces	14635	no-shingle-match	
19355	A Book of Prefaces	14636	below-threshold	46
19355	A Book of Prefaces	14637	below-threshold	56
19355	A Book of Prefaces	14638	below-threshold	55
19355	A Book of Prefaces	14639	below-threshold	54
19355	A Book of Prefaces	14640	no-shingle-match	
19355	A Book of Prefaces	14641	below-threshold	49
19355	A Book of Prefaces	14642	below-threshold	58
19355	A Book of Prefaces	14643	below-threshold	47
3021	A Boy's Will	31759	no-shingle-match	
3021	A Boy's Will	31760	no-shingle-match	
3021	A Boy's Will	31761	no-shingle-match	
3021	A Boy's Will	31762	below-threshold	54
3021	A Boy's Will	31763	below-threshold	53
3021	A Boy's Will	31764	no-shingle-match	
3021	A Boy's Will	31765	no-shingle-match	
3021	A Boy's Will	31766	below-threshold	49
3021	A Boy's Will	31767	no-shingle-match	
3021	A Boy's Will	31768	no-shingle-match	
3021	A Boy's Will	31769	no-shingle-match	
3021	A Boy's Will	31770	no-shingle-match	
3021	A Boy's Will	31771	no-shingle-match	
3021	A Boy's Will	31772	below-threshold	48
3021	A Boy's Will	31773	no-shingle-match	
3021	A Boy's Will	31774	no-shingle-match	
3021	A Boy's Will	31775	no-shingle-match	
3021	A Boy's Will	31776	no-shingle-match	
3021	A Boy's Will	31777	no-shingle-match	
3021	A Boy's Will	31778	no-shingle-match	
3021	A Boy's Will	31779	located	100
3021	A Boy's Will	31780	no-shingle-match	
3021	A Boy's Will	31781	no-shingle-match	
3021	A Boy's Will	31782	no-shingle-match	
3021	A Boy's Will	31783	no-shingle-match	
3021	A Boy's Will	31784	no-shingle-match	
3021	A Boy's Will	31785	no-shingle-match	
3021	A Boy's Will	31786	no-shingle-match	
